Date,Geo,Brand,SKU,Sales_Units,Sales_Value,MRP,Net_Price,Feature_Flag,Display_Flag,TPR_Flag,Trade_Spend,TV_Impressions,YouTube_Impressions,Facebook_Impressions,Instagram_Impressions,Print_Readership,Radio_Listenership,FB_Banner_Content_Score,IG_Banner_Content_Score,Weighted_Distribution,Numeric_Distribution,TDP,NOS,CPI,GDP_Growth,Festival_Index,Rainfall_Index
7/4/2022,CENTRAL,BrandA,BrandA_SKU1,106.3279441,10551.10826,99.23175279,99.23175279,0,0,0,12108.94593,1097592.537,526732.4568,476584.6822,153004.9596,78906.9387,1050007.799,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandA,BrandA_SKU2,188.5033036,19452.41831,103.1940446,103.1940446,0,0,0,12108.94593,487196.6088,225823.8878,231308.1584,68295.59339,38550.90873,539119.4128,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandA,BrandA_SKU3,209.2479208,19583.20154,93.58851195,93.58851195,0,0,0,12108.94593,754271.3548,389120.8192,251421.1896,102966.2828,60067.80885,649164.5061,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandB,BrandB_SKU1,237.6982493,19374.50659,81.50883167,81.50883167,0,0,0,12108.94593,713662.2672,312051.5888,333079.9137,95718.30913,60377.19888,667846.2668,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandB,BrandB_SKU2,203.0751158,14667.00809,72.22454625,72.22454625,0,0,0,12108.94593,751515.8528,348206.8306,382071.701,107848.5362,68700.46966,818393.1112,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandB,BrandB_SKU3,83.4013662,7194.42872,86.26272024,86.26272024,0,0,0,12108.94593,536257.7718,303146.3194,237014.1123,84330.67512,46322.08341,571550.8758,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandC,BrandC_SKU1,207.2481757,11625.7905,56.09598472,56.09598472,0,0,0,12108.94593,341150.4646,183049.1706,136217.2646,50231.56058,25098.72589,343202.9134,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandC,BrandC_SKU2,143.9939071,7982.356369,55.4353759,55.4353759,0,0,0,12108.94593,298134.7759,147982.4968,124692.4721,42065.74656,25017.52588,316621.6948,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,CENTRAL,BrandC,BrandC_SKU3,170.2978256,10521.14709,61.78086568,61.78086568,0,0,0,12108.94593,436399.0459,204866.386,174986.2122,58471.89843,34077.25416,462249.5312,74.71402105,77.99997888,0.326712393,0.406847852,36.92318517,3.07175275,120.9546674,5.24444026,1.180806018,5.37845044
7/4/2022,EAST,BrandA,BrandA_SKU1,174.8164945,18750.32839,107.2572039,107.2572039,0,0,0,12934.2557,1122994.625,466224.2348,209978.8092,114242.7279,128499.4168,1195919.798,71.74394946,83.21210428,0.362935141,0.40949829,36.82493003,3.777748228,119.5844894,5.088126448,0.941337359,3.757115877
